,Date,Open,High,Low,Close,Adj Close,Volume,Amplitude
44,2020-03-06,102231.0,102231.0,96886.0,97997.0,97997.0,11864200.0,5345.0
45,2020-03-09,97982.0,97982.0,85880.0,86067.0,86067.0,14645500.0,12102.0
46,2020-03-10,86071.0,92230.0,86071.0,92214.0,92214.0,13531700.0,6159.0
47,2020-03-11,92202.0,92202.0,80796.0,85171.0,85171.0,11786900.0,11406.0
48,2020-03-12,85103.0,85103.0,68488.0,72583.0,72583.0,12008700.0,16615.0
49,2020-03-13,72621.0,83758.0,72621.0,82678.0,82678.0,15766300.0,11137.0
50,2020-03-16,82565.0,82565.0,70855.0,71168.0,71168.0,12847800.0,11710.0
51,2020-03-17,71178.0,77255.0,70783.0,74617.0,74617.0,14945900.0,6472.0
52,2020-03-18,74576.0,74576.0,63547.0,66895.0,66895.0,16751500.0,11029.0
53,2020-03-19,66883.0,70071.0,61691.0,68332.0,68332.0,16144700.0,8380.0
54,2020-03-20,68344.0,72247.0,66120.0,67069.0,67069.0,15152400.0,6127.0
55,2020-03-23,67067.0,67604.0,62161.0,63570.0,63570.0,11962200.0,5443.0
56,2020-03-24,63604.0,71535.0,63604.0,69729.0,69729.0,11679900.0,7931.0
57,2020-03-25,69727.0,76714.0,69360.0,74956.0,74956.0,12951100.0,7354.0
58,2020-03-26,74956.0,78846.0,74923.0,77710.0,77710.0,12758000.0,3923.0
59,2020-03-27,77708.0,77708.0,73057.0,73429.0,73429.0,10301400.0,4651.0
60,2020-03-30,73431.0,75430.0,73184.0,74640.0,74640.0,9032200.0,2246.0
61,2020-03-31,74629.0,75511.0,72385.0,73020.0,73020.0,11141500.0,3126.0
62,2020-04-01,73011.0,73011.0,69569.0,70967.0,70967.0,10093500.0,3442.0
63,2020-04-02,70969.0,73861.0,70957.0,72253.0,72253.0,10540200.0,2904.0
64,2020-04-03,72241.0,72241.0,67802.0,69538.0,69538.0,10411300.0,4439.0
65,2020-04-06,69556.0,75260.0,69556.0,74073.0,74073.0,9685400.0,5704.0
66,2020-04-07,74078.0,79855.0,74078.0,76358.0,76358.0,11286500.0,5777.0
67,2020-04-08,76335.0,79058.0,76115.0,78625.0,78625.0,10206300.0,2943.0
68,2020-04-09,78640.0,80428.0,77457.0,77682.0,77682.0,10748700.0,2971.0
69,2020-04-13,77682.0,78836.0,76405.0,78836.0,78836.0,7651300.0,2431.0
70,2020-04-14,78848.0,81668.0,78848.0,79918.0,79918.0,8593600.0,2820.0
71,2020-04-15,79911.0,80035.0,77546.0,78831.0,78831.0,9758400.0,2489.0
72,2020-04-16,78837.0,80167.0,77452.0,77812.0,77812.0,9028400.0,2715.0
73,2020-04-17,77817.0,79846.0,77754.0,78990.0,78990.0,8317800.0,2092.0
74,2020-04-20,78989.0,80106.0,76943.0,78973.0,78973.0,8874700.0,3163.0
75,2020-04-22,78973.0,81184.0,78973.0,80687.0,80687.0,9848900.0,2211.0
76,2020-04-23,80690.0,81934.0,78622.0,79673.0,79673.0,10823500.0,3312.0
77,2020-04-24,79667.0,79667.0,72041.0,75331.0,75331.0,16529200.0,7626.0
78,2020-04-27,75334.0,78563.0,75327.0,78239.0,78239.0,10656900.0,3236.0
79,2020-04-28,78243.0,81427.0,78243.0,81312.0,81312.0,12939000.0,3184.0
80,2020-04-29,81313.0,83598.0,81313.0,83171.0,83171.0,11719700.0,2285.0
81,2020-04-30,83169.0,83169.0,80168.0,80506.0,80506.0,11804600.0,3001.0
82,2020-05-04,80501.0,80502.0,77640.0,78876.0,78876.0,8594200.0,2862.0
